systems_impacted,num_files_changed,deployment_hour,deployment_day,engineer_experience,historical_failures,dependency_count,rollback_required,test_coverage,change_type,change_failed
3,20,0,Saturday,2,1,4,0,97,Network,0
1,58,23,Friday,9,1,4,0,63,Database,0
8,89,2,Thursday,1,5,7,1,90,Database,1
3,57,16,Monday,11,1,9,0,55,Network,0
3,77,15,Tuesday,8,1,9,1,56,Network,0
1,68,7,Thursday,6,0,3,0,42,Application,0
11,78,16,Monday,12,3,0,0,93,Infrastructure,0
5,97,7,Monday,1,2,10,1,78,Network,1
10,92,16,Thursday,14,1,4,1,96,Application,0
7,52,8,Wednesday,4,5,0,0,76,Database,0
10,37,11,Thursday,3,2,2,0,92,Network,0
9,8,18,Saturday,7,5,5,0,42,Database,1
12,44,3,Sunday,7,2,0,0,83,Application,0
7,98,20,Friday,6,1,9,0,90,Network,0
9,5,21,Saturday,14,4,2,1,80,Database,0
8,69,10,Monday,10,2,6,1,74,Application,0
12,31,3,Monday,14,4,1,1,42,Network,0
2,45,13,Tuesday,10,3,5,0,55,Infrastructure,0
1,9,13,Monday,12,2,6,0,96,Infrastructure,0
7,32,5,Sunday,8,0,11,1,59,Network,0
7,33,16,Tuesday,7,5,11,1,84,Network,1
14,67,1,Monday,4,3,1,0,45,Application,0
8,30,7,Monday,7,3,10,0,72,Database,1
5,76,3,Thursday,1,4,10,0,82,Database,1
3,29,9,Thursday,3,1,4,0,89,Network,0
12,3,6,Friday,2,5,9,0,66,Infrastructure,1
8,90,3,Saturday,7,0,11,1,69,Database,1
6,57,15,Wednesday,9,0,9,1,74,Network,0
11,30,13,Friday,5,4,0,0,57,Database,0
3,9,15,Monday,9,4,2,0,69,Application,0
1,26,8,Friday,12,3,0,0,82,Network,0
3,2,3,Thursday,13,4,11,0,65,Infrastructure,1
5,62,23,Saturday,8,1,2,0,54,Infrastructure,0
14,3,5,Monday,1,3,3,0,71,Application,0
3,46,0,Monday,14,3,11,0,74,Application,0
1,68,6,Friday,11,3,11,0,51,Infrastructure,1
5,25,0,Saturday,2,0,4,1,60,Infrastructure,0
10,51,18,Sunday,6,5,3,0,51,Application,0
7,13,7,Tuesday,5,5,3,1,88,Infrastructure,0
14,44,2,Sunday,11,0,8,1,40,Infrastructure,1
7,35,0,Wednesday,7,3,8,0,50,Database,1
11,55,0,Saturday,9,1,8,0,94,Infrastructure,0
9,87,6,Friday,14,2,10,1,64,Application,1
10,9,20,Sunday,4,3,4,0,86,Database,0
10,2,12,Friday,8,4,10,0,48,Database,1
12,61,0,Wednesday,4,5,4,0,78,Infrastructure,1
13,41,15,Monday,3,2,1,1,82,Database,0
3,44,21,Monday,12,0,5,0,66,Network,0
7,64,21,Tuesday,2,0,1,1,68,Application,0
1,31,13,Friday,8,2,9,0,89,Application,0
4,47,3,Wednesday,11,5,4,0,66,Infrastructure,0
13,2,22,Friday,8,5,10,1,94,Infrastructure,1
4,96,22,Thursday,11,4,11,1,100,Application,1
14,82,11,Friday,12,0,11,1,67,Application,1
5,77,11,Friday,3,0,4,0,96,Infrastructure,0
7,69,16,Thursday,1,3,3,0,78,Application,0
7,58,20,Thursday,13,1,4,1,57,Infrastructure,0
13,44,14,Sunday,6,4,6,1,54,Database,1
11,74,9,Wednesday,5,3,9,0,55,Network,1
13,56,2,Sunday,8,1,1,0,86,Network,0
4,43,22,Monday,6,0,0,0,62,Network,0
13,89,19,Tuesday,4,1,3,0,69,Database,1
7,34,19,Sunday,10,0,6,0,75,Infrastructure,0
11,30,11,Thursday,10,5,0,1,95,Infrastructure,0
3,71,0,Monday,12,3,3,0,74,Infrastructure,0
6,70,0,Wednesday,12,0,5,0,67,Application,0
12,55,9,Saturday,11,1,5,0,85,Network,0
2,67,17,Friday,2,3,0,1,92,Infrastructure,0
10,13,14,Wednesday,8,1,6,1,42,Infrastructure,0
13,3,1,Wednesday,5,1,4,0,94,Database,0
14,26,16,Thursday,12,2,5,0,55,Infrastructure,1
9,57,7,Tuesday,8,0,0,1,54,Network,0
5,24,21,Sunday,5,0,6,0,58,Infrastructure,0
6,53,21,Thursday,6,1,3,1,49,Database,0
12,70,8,Friday,13,5,2,1,92,Network,1
12,43,20,Thursday,10,0,11,1,88,Application,1
12,60,19,Friday,14,4,10,0,43,Infrastructure,1
12,58,10,Thursday,5,5,3,1,61,Infrastructure,1
4,49,5,Saturday,11,5,8,0,57,Infrastructure,1
14,42,23,Tuesday,3,5,4,1,61,Infrastructure,1
14,76,13,Saturday,10,0,11,1,81,Database,1
11,66,0,Monday,8,5,4,1,94,Database,1
10,11,6,Tuesday,3,5,7,1,55,Network,1
7,98,23,Sunday,4,3,6,1,95,Database,1
12,90,8,Thursday,6,0,2,0,42,Infrastructure,0
9,18,10,Wednesday,2,5,0,1,83,Network,0
7,85,23,Monday,14,4,11,1,97,Application,1
14,52,22,Wednesday,7,5,10,0,98,Network,1
1,46,15,Saturday,5,1,1,0,90,Infrastructure,0
1,44,18,Sunday,12,0,2,1,92,Infrastructure,0
9,22,1,Tuesday,10,3,10,0,74,Application,1
11,53,14,Sunday,13,4,0,1,80,Infrastructure,0
14,59,2,Monday,5,2,0,1,78,Network,0
9,94,3,Saturday,5,1,7,1,55,Database,0
4,30,19,Thursday,13,1,7,0,60,Database,0
13,8,21,Wednesday,13,1,1,1,60,Network,0
9,98,6,Thursday,2,4,7,0,40,Network,1
3,57,11,Friday,11,0,10,1,96,Network,0
7,73,3,Sunday,13,0,1,1,69,Application,0
6,20,9,Monday,12,5,10,0,86,Database,1
8,25,5,Wednesday,10,5,4,1,73,Application,0
11,19,21,Tuesday,9,0,0,1,87,Application,0
9,5,13,Tuesday,3,5,8,0,78,Infrastructure,1
14,75,2,Tuesday,12,0,3,0,85,Database,0
5,79,16,Saturday,7,1,9,1,62,Application,0
1,72,10,Tuesday,5,2,10,1,73,Network,0
3,83,9,Wednesday,10,1,1,0,95,Network,0
10,87,20,Sunday,10,5,0,1,69,Network,1
12,27,9,Sunday,5,2,5,1,95,Infrastructure,0
8,40,9,Sunday,4,2,10,0,96,Application,0
11,96,2,Saturday,10,0,7,0,89,Database,0
6,26,23,Friday,6,3,3,1,72,Database,1
8,27,14,Tuesday,7,4,0,0,55,Infrastructure,0
9,62,16,Sunday,7,3,0,0,80,Network,0
4,83,17,Tuesday,11,2,5,0,69,Network,0
1,50,18,Saturday,12,3,1,1,42,Application,0
14,42,18,Tuesday,8,5,4,1,97,Database,1
1,29,11,Friday,5,2,1,0,84,Database,0
10,39,23,Saturday,7,1,8,0,100,Network,0
4,60,4,Saturday,12,5,1,1,41,Network,0
12,41,23,Monday,14,1,4,1,65,Database,1
14,33,15,Saturday,4,5,3,1,57,Database,1
7,83,14,Tuesday,9,0,10,1,41,Database,1
2,83,14,Saturday,5,5,0,0,79,Application,0
3,97,5,Tuesday,3,4,9,0,42,Application,0
1,16,11,Tuesday,5,1,8,1,56,Network,0
5,23,1,Sunday,9,5,2,1,63,Infrastructure,0
1,7,19,Saturday,13,4,9,0,41,Network,0
8,26,8,Monday,13,0,7,1,45,Database,0
1,96,3,Tuesday,11,5,3,1,79,Infrastructure,0
11,12,4,Sunday,8,4,10,0,65,Application,1
1,72,20,Monday,1,5,8,0,96,Network,0
2,5,7,Monday,5,1,4,1,88,Application,0
2,92,21,Saturday,6,1,1,1,96,Infrastructure,0
12,69,9,Thursday,13,3,7,1,95,Application,1
6,49,6,Sunday,10,3,3,0,45,Database,0
7,26,21,Thursday,13,5,1,1,51,Database,0
5,5,13,Tuesday,11,3,5,0,60,Application,0
1,22,4,Wednesday,2,5,0,1,55,Network,0
1,79,15,Thursday,14,5,7,1,45,Database,0
3,13,14,Sunday,6,4,8,0,73,Infrastructure,0
14,28,4,Saturday,14,1,6,0,98,Network,0
2,33,2,Sunday,9,0,8,1,42,Application,0
5,23,22,Saturday,14,2,1,0,80,Infrastructure,0
12,97,9,Thursday,4,1,10,1,58,Application,1
10,18,4,Wednesday,3,3,0,0,68,Network,0
6,30,22,Friday,9,5,6,0,71,Database,1
7,26,14,Tuesday,2,3,3,1,49,Database,0
4,16,17,Sunday,12,4,9,0,94,Database,0
7,77,7,Friday,9,3,7,1,66,Database,1
11,39,20,Friday,11,4,2,0,68,Infrastructure,0
8,33,1,Monday,10,0,6,0,52,Infrastructure,0
11,26,21,Monday,11,5,6,1,59,Network,1
1,48,7,Tuesday,11,3,10,1,67,Network,0
6,65,22,Wednesday,2,4,9,0,66,Network,1
8,38,7,Monday,14,3,8,1,52,Application,1
5,2,3,Sunday,13,4,10,1,64,Database,1
4,6,18,Sunday,11,5,3,1,99,Database,0
2,46,22,Thursday,14,5,9,1,68,Network,1
6,50,17,Sunday,10,1,0,0,91,Network,0
6,38,20,Tuesday,3,4,6,1,97,Infrastructure,1
11,88,22,Saturday,13,2,9,0,54,Database,1
1,18,0,Friday,7,0,11,1,84,Database,0
9,27,19,Sunday,2,1,5,1,84,Database,0
12,41,14,Tuesday,1,0,10,1,69,Infrastructure,1
11,72,17,Saturday,9,1,0,1,97,Network,0
6,92,21,Saturday,6,3,8,0,77,Infrastructure,0
13,74,11,Monday,9,4,9,1,99,Network,1
3,17,0,Saturday,12,3,7,1,71,Network,0
4,62,6,Wednesday,3,0,9,0,89,Network,0
12,29,18,Saturday,3,5,3,1,46,Network,1
11,58,0,Saturday,10,0,4,1,74,Database,0
4,70,23,Friday,12,1,7,1,72,Infrastructure,1
3,78,6,Wednesday,3,0,1,1,51,Database,0
10,22,1,Tuesday,2,4,5,0,62,Application,0
3,6,6,Wednesday,13,0,9,0,44,Database,0
3,26,18,Wednesday,11,3,1,0,82,Network,0
4,39,12,Tuesday,6,5,11,0,83,Network,1
7,12,23,Friday,3,4,10,1,94,Network,1
4,99,4,Sunday,5,0,7,1,70,Database,0
9,14,22,Saturday,13,2,4,0,55,Network,0
1,22,18,Wednesday,11,2,11,1,72,Application,1
8,51,0,Wednesday,5,5,9,1,92,Database,1
7,23,0,Sunday,10,3,2,0,89,Database,0
2,48,17,Tuesday,3,1,1,0,40,Application,0
8,71,23,Thursday,3,1,3,0,61,Database,0
1,50,0,Sunday,1,5,7,1,67,Network,1
11,89,4,Wednesday,6,0,0,1,44,Network,0
12,13,8,Monday,3,4,9,1,43,Application,1
9,85,11,Saturday,1,5,2,1,40,Application,1
9,10,8,Saturday,13,1,0,1,54,Database,0
2,55,17,Sunday,14,2,1,1,76,Database,0
7,9,22,Friday,14,1,9,0,78,Database,1
14,79,10,Sunday,13,2,10,0,88,Network,1
10,52,0,Wednesday,10,1,6,0,91,Application,0
3,2,18,Tuesday,9,3,0,0,77,Network,0
7,25,21,Monday,11,5,8,1,84,Application,1
12,13,9,Sunday,1,4,7,0,63,Infrastructure,1
10,98,1,Tuesday,5,5,0,0,62,Application,0
9,51,6,Sunday,5,0,9,0,86,Infrastructure,0
4,58,19,Wednesday,2,2,0,0,46,Application,0
12,34,1,Monday,14,1,1,1,95,Network,0
1,35,18,Friday,14,0,1,0,100,Database,0
2,3,5,Friday,13,2,5,1,70,Database,0
1,59,9,Sunday,1,5,0,0,46,Database,0
14,70,8,Friday,6,2,3,1,52,Infrastructure,1
12,48,7,Thursday,7,3,6,0,43,Database,1
5,64,10,Tuesday,11,1,11,1,98,Network,0
5,19,8,Wednesday,11,5,8,1,93,Network,1
11,67,19,Monday,9,0,9,1,99,Application,0
7,82,19,Sunday,8,1,2,0,57,Database,0
9,73,8,Sunday,10,5,3,0,79,Network,1
9,76,7,Saturday,3,1,4,0,58,Database,0
3,5,14,Saturday,9,4,4,1,55,Application,0
3,67,1,Tuesday,1,2,1,1,91,Infrastructure,0
3,11,23,Wednesday,13,2,4,1,57,Network,0
4,94,0,Thursday,6,4,9,0,55,Network,0
8,68,8,Wednesday,13,4,0,0,87,Database,0
6,69,8,Tuesday,14,1,6,1,70,Infrastructure,0
8,1,12,Wednesday,10,2,4,0,64,Network,0
1,91,7,Saturday,2,0,5,1,41,Infrastructure,0
8,92,20,Saturday,10,3,8,0,85,Database,0
4,63,4,Monday,9,5,2,1,100,Application,0
11,29,2,Thursday,9,4,0,1,93,Network,0
1,82,20,Saturday,8,0,7,1,90,Infrastructure,0
8,12,3,Monday,13,0,1,0,67,Application,0
4,77,16,Thursday,11,1,1,0,55,Infrastructure,0
6,41,15,Saturday,7,4,9,1,93,Database,1
8,2,15,Thursday,14,0,3,0,75,Application,0
4,37,19,Wednesday,6,3,4,0,84,Network,0
14,45,2,Monday,2,0,0,1,79,Network,0
3,80,5,Thursday,14,3,10,0,74,Application,0
14,48,0,Sunday,4,3,2,0,63,Infrastructure,0
9,24,20,Thursday,10,3,10,0,74,Application,1
3,99,15,Wednesday,7,4,7,0,69,Database,0
9,22,14,Saturday,14,3,5,1,76,Network,0
13,11,6,Saturday,13,4,2,0,50,Application,1
2,58,1,Sunday,6,0,11,0,84,Network,0
14,46,9,Tuesday,9,3,6,0,73,Application,0
2,29,14,Tuesday,13,2,10,1,77,Infrastructure,0
2,35,5,Saturday,13,0,5,1,78,Network,0
6,15,1,Sunday,5,5,4,1,63,Application,0
3,60,23,Friday,12,2,7,0,68,Application,0
13,95,23,Friday,12,2,7,1,43,Database,1
9,42,16,Sunday,6,1,2,0,80,Network,0
4,43,0,Thursday,10,4,7,1,89,Application,0
1,80,0,Saturday,6,1,9,1,69,Database,0
4,74,3,Tuesday,14,4,8,0,53,Application,1
1,49,19,Thursday,8,1,11,1,63,Network,0
14,64,15,Monday,8,0,9,1,77,Application,1
5,32,7,Sunday,6,2,2,1,91,Network,0
4,64,0,Sunday,8,0,10,1,73,Network,0
8,2,18,Tuesday,7,4,7,1,75,Database,1
8,24,10,Tuesday,1,2,7,0,54,Application,0
7,87,16,Tuesday,5,2,11,0,74,Network,0
3,66,9,Sunday,11,4,6,1,68,Application,1
1,38,11,Friday,10,0,7,0,75,Infrastructure,0
1,31,8,Wednesday,10,2,0,0,43,Infrastructure,0
12,26,6,Wednesday,13,5,2,1,54,Application,1
11,29,11,Sunday,10,0,5,1,50,Database,0
3,67,14,Friday,5,0,11,0,94,Infrastructure,0
6,78,7,Saturday,10,0,6,1,88,Network,0
7,25,16,Saturday,14,2,6,0,54,Application,0
6,48,4,Sunday,9,3,10,0,96,Network,0
14,65,13,Sunday,7,1,5,1,60,Network,1
14,53,1,Friday,7,4,11,1,74,Infrastructure,1
6,67,15,Friday,10,0,11,0,62,Network,0
6,90,16,Saturday,2,2,11,0,94,Application,0
13,18,2,Wednesday,8,4,10,1,95,Database,1
3,9,22,Thursday,3,3,3,1,49,Infrastructure,0
6,38,0,Friday,9,5,4,1,43,Infrastructure,1
8,87,17,Thursday,6,3,8,1,84,Application,1
11,21,17,Thursday,9,2,0,1,64,Database,0
11,65,3,Monday,9,0,1,1,41,Database,0
2,21,14,Wednesday,7,3,4,0,77,Network,0
5,27,18,Sunday,10,3,4,0,58,Database,0
14,70,18,Thursday,12,3,11,1,63,Application,1
1,44,9,Sunday,8,5,6,0,47,Database,0
12,28,4,Sunday,2,2,7,0,45,Database,1
1,45,18,Wednesday,5,4,9,0,59,Network,0
5,17,10,Wednesday,3,1,5,0,53,Network,0
12,40,6,Monday,1,2,5,0,79,Application,0
13,3,4,Sunday,13,0,4,0,45,Database,0
3,76,19,Saturday,6,2,4,0,51,Database,0
4,76,11,Wednesday,13,2,10,0,80,Infrastructure,0
3,66,18,Thursday,12,5,7,1,46,Database,0
1,46,14,Saturday,9,1,4,1,96,Infrastructure,0
1,86,11,Saturday,2,1,5,1,84,Network,0
12,87,3,Tuesday,9,1,2,1,69,Network,0
12,30,11,Thursday,8,4,4,0,55,Network,1
14,69,17,Thursday,11,2,8,1,47,Infrastructure,1
13,9,16,Wednesday,9,5,2,1,53,Infrastructure,1
14,85,18,Thursday,5,0,7,0,87,Infrastructure,0
5,11,15,Sunday,13,1,10,1,59,Database,1
6,69,10,Tuesday,2,1,6,1,67,Network,0
3,99,1,Wednesday,10,2,3,0,45,Infrastructure,0
12,91,15,Friday,10,0,4,1,69,Network,1
9,66,0,Thursday,6,5,7,1,94,Infrastructure,1
5,88,16,Thursday,7,1,9,0,43,Infrastructure,0
8,31,17,Monday,3,2,6,0,75,Network,0
13,33,12,Friday,14,3,9,1,97,Database,1
1,39,4,Friday,6,5,9,1,42,Application,1
14,94,23,Sunday,6,4,1,1,49,Infrastructure,1
5,46,5,Tuesday,8,5,7,0,77,Network,0
3,37,0,Sunday,1,2,7,1,66,Network,0
12,92,9,Friday,4,1,8,1,57,Infrastructure,1
1,60,4,Sunday,1,5,1,1,84,Network,0
4,31,0,Sunday,8,0,3,1,50,Application,0
13,11,22,Monday,2,3,1,0,75,Database,0
5,87,10,Tuesday,8,0,3,0,79,Infrastructure,0
7,2,23,Sunday,3,0,2,1,74,Network,0
1,27,23,Sunday,8,0,6,1,83,Network,0
3,99,6,Friday,6,2,4,0,52,Network,0
2,2,17,Tuesday,1,2,6,0,95,Database,0
9,21,20,Friday,7,5,1,0,94,Network,0
10,58,19,Friday,13,4,3,0,62,Infrastructure,1
6,5,20,Sunday,7,3,5,1,82,Database,1
10,52,9,Saturday,6,5,11,0,48,Database,1
3,45,14,Friday,1,0,4,0,43,Infrastructure,0
8,85,3,Sunday,5,5,10,1,82,Network,1
14,93,15,Thursday,1,1,1,1,79,Infrastructure,0
8,20,14,Friday,1,5,11,1,89,Database,1
2,61,14,Thursday,6,5,6,1,70,Network,0
6,38,11,Wednesday,8,0,1,1,42,Infrastructure,0
7,20,7,Saturday,1,5,8,1,75,Application,1
2,25,7,Monday,2,3,6,1,96,Database,0
11,2,17,Tuesday,5,0,11,0,56,Network,1
10,32,5,Tuesday,8,2,2,0,55,Application,0
2,26,4,Wednesday,11,2,5,1,78,Infrastructure,0
10,70,1,Friday,4,5,4,0,41,Network,1
1,41,11,Monday,14,5,11,0,44,Network,1
8,67,3,Wednesday,5,3,8,1,72,Application,1
1,97,22,Wednesday,10,4,2,0,93,Application,0
9,1,12,Tuesday,5,0,1,0,52,Database,0
11,51,16,Thursday,3,3,1,0,51,Application,0
6,5,15,Thursday,6,5,3,0,58,Network,0
7,13,8,Friday,5,5,0,1,100,Network,0
13,19,0,Friday,2,5,8,0,61,Infrastructure,1
10,12,14,Sunday,14,5,2,0,79,Database,0
7,48,11,Sunday,10,1,4,1,47,Infrastructure,0
10,25,4,Wednesday,14,5,1,0,83,Network,0
3,57,22,Friday,4,5,7,1,43,Infrastructure,1
2,35,23,Thursday,11,1,10,0,46,Application,0
9,76,17,Monday,4,4,10,0,99,Infrastructure,1
8,94,19,Tuesday,7,2,2,1,87,Network,0
13,5,1,Thursday,7,5,4,1,61,Application,1
12,98,3,Sunday,9,5,6,1,57,Network,1
10,22,14,Saturday,10,3,1,0,45,Database,0
7,77,5,Friday,12,0,2,1,89,Database,0
9,57,21,Tuesday,2,3,7,1,100,Application,1
4,47,11,Saturday,6,5,9,0,43,Database,1
13,54,17,Tuesday,2,4,7,1,92,Database,1
4,3,19,Wednesday,9,3,2,0,80,Database,0
1,53,3,Friday,2,4,9,0,84,Database,1
8,84,0,Wednesday,6,4,11,1,90,Network,1
14,31,14,Tuesday,8,5,6,1,51,Application,1
14,69,17,Wednesday,6,4,10,0,87,Application,1
12,88,13,Friday,12,3,1,1,76,Network,1
3,33,2,Thursday,3,1,8,0,41,Infrastructure,0
7,72,14,Monday,5,0,7,1,42,Infrastructure,0
12,88,4,Saturday,4,4,8,1,84,Database,1
2,50,23,Thursday,1,5,8,0,60,Application,1
2,84,21,Tuesday,5,2,6,0,78,Application,0
7,16,2,Thursday,10,4,3,1,52,Application,1
6,76,21,Wednesday,12,3,11,0,87,Infrastructure,1
3,77,6,Friday,5,4,11,1,93,Database,1
9,39,5,Thursday,7,2,4,1,53,Application,0
10,89,21,Thursday,12,1,6,0,69,Infrastructure,0
14,46,0,Friday,7,3,4,0,57,Network,1
13,96,18,Wednesday,2,3,11,0,52,Application,1
6,88,6,Monday,14,5,9,1,53,Network,1
10,47,3,Thursday,4,3,7,1,80,Application,1
10,44,11,Saturday,1,2,4,0,79,Infrastructure,0
6,9,19,Tuesday,13,3,4,0,96,Infrastructure,0
1,87,22,Sunday,5,1,4,1,64,Application,0
4,50,17,Wednesday,5,0,3,1,76,Database,0
10,77,8,Wednesday,4,0,10,0,66,Database,0
6,60,18,Thursday,10,4,11,0,62,Infrastructure,1
6,96,21,Saturday,12,0,10,1,46,Network,0
11,15,3,Sunday,12,2,11,1,87,Network,1
12,36,0,Friday,7,0,6,0,49,Application,0
5,63,8,Sunday,6,2,1,1,64,Network,0
1,69,14,Thursday,13,2,9,1,96,Network,0
8,86,21,Thursday,10,4,3,1,93,Network,0
